ticker,volatility,rmse_base,avg_price,len,rmse_tuned
BSNLF,High,0.0442607189762179,0.0260890206149815,1889,0.0318449643414155
FTA,Medium-Low,8.488856001604507,38.64729062307836,4457,4.376875467463178
JTKWY,Medium-High,0.6401342743642565,9.432195768076287,1226,0.5658400119137965
FWONB,Medium-Low,6.866345554813472,46.53826399644216,2016,6.854366656572429
VRMMQ,High,116.53852667761562,1104.577206209594,1173,78.17973745773956
INND,High,24.365511881580648,110.94070636811226,1988,23.48779882939353
ARTM,High,0.0270740564544686,0.2388987766658564,7555,0.0089643679580041
TBBK,Medium,6.42714770968404,15.702928700729272,5289,6.56751497468977
HDVY,High,0.103639689713304,0.0787180151835956,5844,0.0539188087251566
KNYJY,Medium-Low,6.688619537483011,21.639941921906885,3147,2.9453463274569085
VALV,High,0.0107662423350018,1.8761242883401252,4653,0.0085144241616137
FMXUF,Medium-Low,4.492993260243342,8.894999434240733,3270,2.2571164824795984
TNSTF,High,29.400328550928787,-17.926776034936506,1977,2.695677932829603
PHOT,High,329.63222181284056,18898.102027342284,5188,262.0835463889343
WTTZF,High,5.702902085312638,0.5601595069778967,2952,5.190931207286881
SRLN,Low,0.3788888312157254,32.24843468144786,2982,0.3725163464107557
LIXT,High,15.817567908825156,6.616048278712678,4350,12.99180907704084
LULU,Medium,200.4628594811092,142.85210743734902,4413,131.76459899423665
LNBY,High,0.8220749621584973,0.7011027685189859,975,0.6295197210571203
QGLDF,High,0.1074698100887344,0.3463645914844955,3807,0.077649020211261
VQSSF,High,3.1473817956770613,1.9642968888427477,3110,2.14791368417541
TACI,High,0.3185843605013894,120.87757297880223,5035,0.3154756452525252
UPDC,High,0.0591971449776673,1.0592615686037572,7555,0.0199469435789825
CELJF,Medium,2.0270028310524717,10.008931131979615,4531,0.7134984686288387
SLM,Medium,5.081165732172885,6.3501157301266495,10427,2.161959959274024
EQH,Medium-Low,15.463239728677348,26.18187293657922,1697,9.982484769089512
SPC,Low,0.0397384190268575,19.208976965511543,850,0.0284784702435183
SCDCF,High,0.0056602899754219,0.0737861950116667,1031,0.0060431280282704
TEO,Medium,2.102344920866225,9.458306807616394,7592,1.94807744547692
MBOT,High,40.19665218864809,39447.24911113349,8278,37.99191485993223
HWNI,High,0.0224289018880128,0.0793409676501347,682,0.0155099136250488
ULVM,Low,13.215539944776094,56.575888356485,1830,9.454985316322674
WWD,Medium-Low,15.29804264876288,40.79922893650287,7766,15.012706580641478
EE,Medium,4.857493708439698,21.29975515300945,708,5.305791404708074
TKRKF,High,13.990373174858846,-0.7537388594185419,2602,13.99161600220625
YLD,Low,3.1979037776362254,14.809264566492738,2410,0.9360969728277266
EXPL,High,0.0402140302380242,2.054598851203152,4382,0.0292042586744644
UPHLW,Low,0.0,0.0700000002980232,632,0.0
EASG,Low,1.5654688978364963,25.4233186604184,1573,1.5304554420498884
ATOM,High,5.728509837578286,8.635675094349466,2139,4.54476986806442
CAPFF,Medium-Low,0.2056855216734966,0.9956393926378632,903,0.1502747997089263
VEGA,Low,2.446497641132723,30.496147429988994,3116,1.8950353743609685
BTAI,High,5.180830672381977,17.474294082066372,1741,3.93627752894971
XMMRF,Medium,0.1899499287946094,0.4192023534056476,1799,0.0862457176947624
SPLP,Medium-Low,3.8858773660385073,21.761862316551245,3227,3.0781683292944964
JAVA,Low,2.9166698895517515,53.45224995840164,840,2.6011792146834294
FRST,Medium-Low,1.8361382591361963,8.966992240142988,4596,1.1763282480943775
HLRD,Medium,203.0083322820409,472.9476252319728,3110,38.21029024105386
SIELY,Medium,1.9269775844232389,6.910833550360323,3656,2.049299180723925
PVBC,Medium-Low,10.696322200302044,10.850840905121762,2407,3.880611330811923
FINX,Medium-Low,11.82233454753476,26.789129683513515,2114,9.272164874022778
SDD,Medium,7.114381054509754,1332.982019784062,4540,3.068751516453636
PLAG,High,13.61423006905082,203.59223002702828,3876,8.020846538923049
OPP,Low,2.3829052140840403,7.540503197605135,2103,0.6880425895293696
PNDXF,Medium,2.948988484693637,11.131973033271183,656,2.2229097087172773
USCTF,High,31.829699930519087,81.08630390503131,782,1.4213818950588335
AZTEF,High,0.0232266851209944,0.2015661952744739,3850,0.0230466311332518
BOLT,Medium-High,0.5850273461644812,5.095012327942853,1007,0.5732397016688727
MYLKF,High,0.0645527363386506,0.2813338169731733,775,0.0485472567174133
YNAJF,High,0.0928972686749858,0.4473146144500126,3736,0.0582422496427446
BDIMF,Medium,1.1982168763622476,6.967519956618689,3774,1.0851323603215048
IHHFF,Low,9.875412743375891,93.82009842975948,2252,9.825656245401236
FSV,Medium-Low,73.07464086710935,104.98364186384718,2438,16.297069159418825
XTWY,Low,12.490072028947772,41.17341944202142,583,5.173123508712328
MGFX,Medium,5.246940865872202e-05,0.0001804576681403,1748,5.724820182173376e-05
SREA,Low,0.9171091054735336,21.52206715099877,1413,0.8080614983133925
FSEN,High,1.2537330581496615,2.4642866882461325,1971,0.5851500653926852
LIDRW,High,0.0804400839693945,0.4873933720921636,1026,0.0623890676961735
KSA,Medium-Low,7.578034545582065,30.100911633624296,2363,2.7576682249512965
DMSI,High,0.0008391078453634,0.0028523401425564,3910,0.0008061720338384
LZRFY,Medium-High,3.2664104358001125,6.890098799513679,3147,2.9704435194705368
RYCEF,Medium,1.4171822855820129,8.842745337585262,4022,0.8511796232744756
ORINF,Medium-Low,7.481516073332515,32.01921662429105,2944,4.33055016313248
HROWL,Low,0.3977677589077889,21.177742337776444,944,0.2820822703233764
VLEEY,Medium,1.7354781015126275,13.44280789406532,3787,0.9633159740218616
BGC,Medium,1.401563757619431,3.7997348138856215,6329,1.0307767997369146
BKN,Low,1.8978153205385604,6.654520584894479,8049,1.0356409601258694
DBX,Medium-Low,5.698195177500922,24.224239870302934,1730,5.203534222101451
FBCG,Medium-Low,1.8356383429346053,30.89314106694695,1176,2.380064889262314
NULG,Medium-Low,12.916037242450171,48.08318746457541,2043,11.029105403286534
ENSG,Medium-Low,17.023030095459294,37.0046003244527,4339,13.426899679453124
BSMAF,Low,0.050564039721033,0.6863078390181251,3844,0.048727398277524
RZV,Medium-Low,7.868529852188013,54.54973242809961,4763,3.780611014174111
BANX,Medium-Low,4.037075887184712,12.359333195366204,2830,2.077832508300273
PMT,Medium-Low,1.3101753683641757,8.102029161987812,3907,1.0704068985642974
PPRUY,Medium-Low,5.304193798720537,34.0551892010892,3416,5.303476236739117
CRLFF,Medium,0.2596394511625559,3.980332321888063,1025,0.3300695381720766
RCCB,Medium-High,47.84476260047427,219.13832946295645,3041,49.58145237799827
NEAR,Low,4.072465916751279,43.06368885207301,2855,3.9023508952648895
IFUUF,Medium-Low,0.7513921021239962,3.820729403095391,1703,0.5554204759800804
TPNTF,Medium-Low,4.467553686421216,15.381591913896964,3924,1.9498955856383464
ALLWF,Medium-High,0.1392763576231966,1.488453332214218,2472,0.1341914744497011
STRFF,Medium-High,0.1084473974414373,0.3124770819353251,946,0.0499064854200386
JSM,Medium-Low,1.5836585648990067,11.333435053746385,5312,1.2814890423014027
ESTC,Medium,24.1332281458994,92.94568999708072,1594,17.03180188753693
CITLF,Medium-High,0.2244424127140327,0.2504372047968516,422,0.2255789446519351
CBFV,Medium-Low,4.029360935464818,14.200510633813158,5370,3.0605506578465103
SPXE,Low,19.13613285158143,35.23231448108003,2358,6.9896820469288725
PEBO,Medium,2.401540820054335,12.822594549062458,8055,2.364081516857767
QGRW,Low,2.017417125853866,37.47708594016242,533,1.3186724658527424
PANL,Medium,1.0150349203446891,3.765892629281234,2801,1.017409181366199
GAN,Medium-High,1.4697613714069957,7.857755443986151,1198,0.5721598006621693
HAWX,Low,5.96421672301576,21.92620109002552,2417,2.7848830306374603
KGFHF,Medium,1.1447887103125816,2.9781920863241207,5393,0.5982791651724383
HEAT,Low,1.0926415254414414,25.07571179587562,444,0.8576245814030691
ITEQ,Medium-Low,15.649772156201218,42.40760037172506,2330,13.41484731863602
LBNW,Medium-Low,0.5715930176640555,5.607476892039854,641,0.1926034448152228
IGLB,Low,3.1412456419622243,43.462049982213415,3815,2.8741022070198663
PROF,Medium-High,4.515058281073673,11.658818391362976,1327,2.411135953555541
GDOC,Low,2.8800045486891594,32.56482747740346,812,3.0539459697774007
RORO,Medium-Low,0.960328580481126,17.016951159332248,1059,0.9590803715707702
UPS,Medium-Low,11.249467906445036,72.1529857884805,6350,9.07803943425712
LMPMY,Medium,1.1345198719906096,4.759626619885709,3787,0.5796507278077067
BSCU,Low,0.4867890446938156,15.940041109743923,1103,0.4319469140198559
PINS,Medium-High,8.32180938048843,35.02777550728006,1461,8.485004269824026
DIA,Low,30.054867545284903,143.46821444048936,6807,17.82002302153817
LSAT,Low,2.5428588416188385,33.26281422221528,1076,2.5664049359989214
HMNTY,Medium,6.718271689394228,21.55808888887663,719,5.677858023156012
LEXI,Low,1.846150674957198,25.12967242246175,905,1.5419910178241432
IPOOF,Medium-High,0.3862864880711003,1.1322036587774331,1973,0.2213153123180207
WIX,Medium,270.8560253137151,104.15835747942828,2831,89.80771462940933
UITB,Low,2.7206988422764464,44.505136785872,1830,2.421485072777916
CDNA,Medium-High,62.01901839978364,21.1440075313444,2658,36.54383791471895
PCTY,Medium,32.906856396558425,113.13630097837006,2741,28.533374759024877
CFA,Low,17.318552953929185,52.3371643819909,2668,5.29873583243142
OSCUF,Medium-High,4.691911505987493,220.7102872809972,4182,2.740254030009367
NUSI,Medium,1.129195880642626,19.758143118924878,1290,1.164767612625697
HKND,Low,1.5487275162461236,27.755626100889398,994,1.1454443224055109
PNI,Low,1.1318321781961929,6.5243853591310526,5693,0.61898071302374
OAOFY,Medium,3.405942394863534,26.08991433144621,3796,2.2651879397291386
QEPC,Medium-High,14.785076113195425,12.735850307619051,7144,9.353879130917887
SEI,Medium,8.880416918059122,10.0399823196129,1947,7.505808940325719
FNMA,Medium-High,1.337345018296053,15.749122585234712,12127,1.267125412103859
DBRG,Medium,16.372678495288053,26.26632219733749,2671,6.717794011849808
GIPR,Medium,1.971614130312887,4.005173254013061,840,0.6369780593352818
GMYOY,Medium-High,39.14785644787285,20.877507574407243,2605,9.965002440609398
NVCR,Medium-High,43.43725883153799,54.76305142514917,2353,19.73717790025249
RELY,Medium-High,13.006149740177868,16.890548357423746,848,9.35136303590545
TRNS,Medium-High,23.25931468441277,12.243744298457418,11894,19.54906459348129
IRNRF,Medium-High,0.0426499466151244,0.0969330630905785,2691,0.0348426249091718
YOU,Medium-High,12.756191121638164,25.32642471225154,907,5.755491515680514
PMNXF,Medium-High,0.2957382974310705,1.0751939266959667,3765,0.2979621001141753
PXPHF,Medium-High,1.179163490342347,3.8011623497250713,1185,0.5639925735359523
EB,Medium-High,7.036128238455312,13.356535833869769,1605,1.2706281933364187
ORBT,Medium-High,1.622748550075258,6.265888882187956,11316,1.604498151931717
ADDHY,Medium-High,3.387020990911386,10.168203241572884,501,1.018317646585471
ASAAF,Medium-High,7.215452369441836,31.492341954267875,1094,3.2039298614821456
DNN,Medium-High,0.6148914302803158,2.2246661081655463,5032,0.501085157832865
XBIT,Medium-High,12.698112292082769,8.836452394639466,2471,1.8711247143702496
AITLF,Medium-High,0.0403903258933587,0.1491660448957762,487,0.0435395456623919
